Month,Price,Change,Iowa,Minesota,Nebraska,Illinois,Indiana,Kansas,South Dakota,Ohio,Missouri,Winsconsin,Soybean oil price,Soybean meal price,Sugarcane kg,Crude Oil Barrel,Gasoline Gallon
1996/08,185.50,-6.22,70.0,67.4,70.6,73.5,72.7,74.5,71.2,71.4,74.8,67.1,565.00,270.00,.27,20.44,0.61
1996/09,145.39,-21.62 %,60.7,57.6,60.3,64.2,63.9,65.0,58.8,63.5,64.8,58.8,569.00,286.00,.26,22.26,0.62
1996/10,127.85,-12.06 %,51.7,45.2,50.8,54.8,54.4,56.3,46.9,53.4,56.6,46.7,528.00,270.00,.25,23.61,0.66
1996/11,117.74,-7.91 %,29.0,20.3,30.0,34.9,35.7,38.2,22.0,35.6,38.1,25.8,517.00,274.00,.24,22.39,0.69
1996/12,117.69,-0.04 %,19.6,8.8,22.8,30.5,33.0,32.1,11.5,35.4,34.0,17.9,514.00,279.00,.24,23.62,0.69
1997/01,118.36,0.57 %,14.6,4.5,21.2,21.4,23.1,28.6,10.6,25.9,26.4,11.6,534.00,280.00,.24,23.23,0.67
1997/02,121.67,2.80 %,25.0,15.0,29.4,33.6,34.7,34.8,22.8,34.6,37.4,20.7,527.00,282.00,.24,20.42,0.62
1997/03,127.60,4.87 %,37.2,24.0,40.2,42.9,42.3,46.6,31.9,41.4,47.0,28.9,541.00,300.00,.24,19.33,0.61
1997/04,124.40,-2.51 %,44.3,38.8,42.4,47.6,46.9,48.6,39.5,46.2,50.0,41.1,541.00,301.00,.25,17.88,0.59
1997/05,118.77,-4.53 %,54.2,49.6,55.2,57.6,56.2,60.7,53.1,54.4,59.8,49.3,541.00,300.00,.24,19.37,0.62
1997/06,112.05,-5.66 %,70.4,67.0,69.4,70.6,69.2,72.3,68.0,68.3,71.5,66.0,550.00,274.00,.25,17.92,0.55
1997/07,106.06,-5.35 %,73.4,68.0,74.2,75.1,73.8,78.2,71.4,71.9,77.7,67.7,535.00,248.00,.25,18.33,0.59
1997/08,112.92,6.47 %,69.5,64.9,71.1,71.0,69.8,75.1,69.4,68.3,73.8,63.6,544.00,258.00,.26,18.70,0.71
1997/09,112.24,-0.60 %,64.2,59.9,64.9,66.3,64.8,69.9,63.1,62.9,68.4,59.4,555.00,266.00,.25,18.66,0.62
1997/10,120.36,7.23 %,52.1,46.3,51.6,54.9,53.6,56.8,49.7,52.9,56.9,47.5,611.00,260.00,.25,20.04,0.58
1997/11,117.22,-2.61 %,32.9,24.9,34.6,38.6,38.6,40.2,30.0,38.9,41.2,29.7,676.00,276.00,.26,19.09,0.56
1997/12,113.45,-3.22 %,27.4,23.9,29.4,32.0,33.0,32.2,28.0,33.6,34.1,26.2,622.00,264.00,.27,17.09,0.52
1998/01,114.71,1.11 %,23.5,14.0,26.6,31.8,34.8,32.6,19.3,35.6,35.3,20.3,625.00,231.00,.25,15.00,0.48
1998/02,113.38,-1.16 %,34.8,28.8,35.2,40.0,39.4,39.6,32.7,38.7,41.2,31.6,634.00,214.00,.24,14.10,0.45
1998/03,114.21,0.73 %,32.8,27.5,31.8,40.6,41.3,38.2,26.4,41.8,41.1,31.3,652.00,184.00,.22,13.12,0.45
1998/04,107.12,-6.21 %,49.7,46.8,47.4,52.6,52.4,51.9,46.9,51.2,54.0,47.0,662.00,165.00,.21,13.50,0.47
1998/05,106.10,-0.95 %,65.0,60.4,61.9,67.4,66.4,67.9,59.3,65.0,69.2,60.9,671.00,162.00,.20,14.03,0.48
1998/06,104.23,-1.76 %,67.1,62.1,65.0,71.8,71.1,73.6,61.7,69.1,73.6,63.5,629.00,159.00,.18,12.48,0.44
1998/07,100.51,-3.57 %,73.8,69.0,75.3,75.4,73.6,79.6,73.4,72.0,78.0,69.4,612.00,157.00,.19,12.70,0.42
1998/08,87.86,-12.59 %,72.9,68.9,73.4,74.8,73.7,77.9,72.2,72.7,76.8,68.9,592.00,145.00,.19,12.49,0.40
1998/09,86.31,-1.76 %,68.2,62.4,69.1,70.9,69.6,74.4,66.9,68.0,73.4,63.1,615.00,145.00,.16,13.80,0.43
1998/10,95.53,10.68 %,53.1,47.7,51.7,56.6,55.8,58.5,48.4,54.2,58.6,49.0,614.00,151.00,.16,13.26,0.44
1998/11,98.12,2.71 %,40.7,31.9,40.6,45.6,44.9,47.1,36.0,43.9,48.4,37.2,614.00,163.00,.18,11.88,0.37
1998/12,95.76,-2.41 %,29.4,19.4,29.3,35.1,36.4,34.5,25.6,36.9,36.4,25.4,591.00,168.00,.18,10.41,0.31
1999/01,97.44,1.75 %,17.0,7.6,26.4,25.1,27.0,31.7,17.6,28.4,30.6,12.0,541.63,166.24,.18,11.44,0.34
1999/02,94.19,-3.34 %,32.9,23.2,37.0,37.4,36.4,42.8,32.9,34.8,42.4,26.6,482.36,159.25,.15,10.75,0.32
1999/03,96.18,2.11 %,36.3,30.4,39.2,38.3,36.7,42.8,36.8,35.3,42.3,31.8,444.36,162.63,.13,13.17,0.42
1999/04,94.13,-2.13 %,50.0,44.7,47.1,54.3,53.6,53.5,44.7,52.8,56.9,46.6,442.68,165.30,.12,15.87,0.50
1999/05,92.49,-1.74 %,60.5,56.8,58.2,64.1,63.6,63.1,55.9,62.1,63.8,58.0,421.50,147.29,.13,16.06,0.49
1999/06,93.65,1.25 %,68.9,64.4,66.9,72.2,72.0,71.0,65.1,71.1,72.6,65.4,405.88,146.09,.13,16.39,0.49
1999/07,83.99,-10.32 %,76.8,71.3,76.1,78.6,77.9,80.4,73.3,76.8,80.0,72.4,391.40,144.18,.12,18.99,0.58
1999/08,85.65,1.98 %,70.0,66.3,71.8,71.7,71.2,77.5,71.0,70.0,75.6,65.9,412.37,160.00,.13,20.27,0.64
1999/09,86.47,0.96 %,61.3,56.4,60.3,65.2,65.6,65.4,57.1,64.7,66.5,57.8,413.93,176.55,.15,22.70,0.69
1999/10,85.80,-0.77 %,50.9,44.2,51.2,54.5,53.7,56.5,47.8,52.6,56.9,45.7,399.53,187.62,.15,21.95,0.63
1999/11,85.43,-0.43 %,44.3,37.6,45.0,48.4,47.8,50.4,42.4,46.2,52.0,39.6,387.31,183.36,.14,24.16,0.70
1999/12,87.18,2.05 %,27.0,21.4,32.5,32.6,33.0,36.8,29.1,33.0,36.8,22.7,374.67,183.50,.13,25.10,0.70
2000/01,93.29,7.01 %,21.6,10.3,28.6,27.3,26.6,33.3,21.1,26.2,33.0,15.1,369.79,195.10,.12,25.31,0.71
2000/02,95.15,1.99 %,32.5,22.8,35.0,37.4,36.7,41.0,30.1,35.6,42.2,25.3,357.94,203.33,.12,27.22,0.82
2000/03,95.05,-0.11 %,43.1,36.4,41.9,46.2,45.4,46.3,39.3,44.9,48.2,38.4,363.49,204.74,.11,27.49,0.89
2000/04,95.20,0.16 %,49.4,42.2,48.7,51.5,50.4,53.8,45.0,49.7,54.4,42.9,366.24,198.65,.13,23.47,0.73
2000/05,96.35,1.21 %,62.8,56.7,61.6,65.1,64.2,66.5,58.1,62.9,67.2,57.1,337.97,202.14,.15,27.19,0.89
2000/06,84.33,-12.48 %,67.7,61.5,67.6,70.3,70.4,72.0,64.4,69.8,71.2,62.8,330.17,198.50,.18,29.62,0.96
2000/07,75.27,-10.74 %,72.2,68.6,75.2,73.2,71.8,79.0,73.0,69.9,76.1,67.6,339.30,190.00,.21,28.18,0.86
2000/08,75.58,0.41 %,72.7,67.6,76.4,74.6,72.0,83.0,73.2,69.7,79.5,67.6,328.92,190.26,.23,29.26,0.87
2000/09,80.43,6.42 %,64.6,56.6,64.5,66.3,64.4,71.1,62.3,63.2,69.0,58.1,312.49,206.52,.22,32.08,0.96
2000/10,85.03,5.72 %,54.8,48.2,52.7,58.0,57.2,59.4,50.1,55.9,60.1,50.5,314.02,205.32,.24,31.40,0.95
2000/11,89.17,4.87 %,32.2,28.4,28.2,38.9,40.3,36.8,24.4,40.1,39.8,32.4,316.78,214.64,.22,32.33,0.94
